location,yr,crop,plot,block,tillage,cover.trt,yield
IL,2012,m,101,1,rt,rye,10784
IL,2012,m,102,1,cp,rye,8552
IL,2012,m,103,1,rt,none,8728
IL,2012,m,104,1,cp,none,10194
IL,2012,m,203,2,rt,rye,9946
IL,2012,m,204,2,cp,rye,6882
IL,2012,m,207,2,cp,none,7388
IL,2012,m,208,2,rt,none,7276
IL,2012,m,301,3,cp,rye,10230
IL,2012,m,302,3,rt,rye,10495
IL,2012,m,305,3,cp,none,7791
IL,2012,m,306,3,rt,none,7617
IL,2012,m,403,4,cp,rye,7199
IL,2012,m,404,4,rt,rye,5942
IL,2012,m,405,4,cp,none,7412
IL,2012,m,406,4,rt,none,6702
IL,2013,m,105,1,rt,none,8944
IL,2013,m,106,1,cp,rye,11307
IL,2013,m,107,1,rt,rye,11923
IL,2013,m,108,1,rt,none,7459
IL,2013,m,201,2,cp,rye,10069
IL,2013,m,202,2,cp,none,8879
IL,2013,m,205,2,rt,rye,10522
IL,2013,m,206,2,rt,rye,11538
IL,2013,m,303,3,cp,rye,11042
IL,2013,m,304,3,cp,none,9847
IL,2013,m,307,3,rt,none,10657
IL,2013,m,308,3,rt,rye,12597
IL,2013,m,401,4,rt,none,12364
IL,2013,m,402,4,cp,none,11001
IL,2013,m,407,4,cp,rye,8715
IL,2013,m,408,4,rt,none,9502
IL,2014,m,101,1,rt,rye,13777
IL,2014,m,102,1,cp,rye,12629
IL,2014,m,103,1,rt,none,17517
IL,2014,m,104,1,cp,none,15780
IL,2014,m,203,2,rt,rye,12672
IL,2014,m,204,2,cp,rye,13624
IL,2014,m,207,2,cp,none,16320
IL,2014,m,208,2,rt,none,17034
IL,2014,m,301,3,cp,rye,14446
IL,2014,m,302,3,rt,rye,15764
IL,2014,m,305,3,cp,none,11395
IL,2014,m,306,3,rt,none,13954
IL,2014,m,403,4,cp,rye,14473
IL,2014,m,404,4,rt,rye,13628
IL,2014,m,405,4,cp,none,13025
IL,2014,m,406,4,rt,none,15480
IL,2015,m,105,1,cp,rye,11807
IL,2015,m,106,1,rt,rye,10610
IL,2015,m,107,1,cp,none,13005
IL,2015,m,108,1,rt,none,11989
IL,2015,m,201,2,cp,rye,9762
IL,2015,m,202,2,rt,rye,7690
IL,2015,m,205,2,cp,none,10116
IL,2015,m,206,2,rt,none,10053
IL,2015,m,303,3,cp,rye,10167
IL,2015,m,304,3,rt,rye,7137
IL,2015,m,307,3,cp,none,12909
IL,2015,m,308,3,rt,none,13259
IL,2015,m,401,4,cp,none,11829
IL,2015,m,402,4,rt,none,10374
IL,2015,m,407,4,rt,rye,12841
IL,2015,m,408,4,cp,rye,13944
MI,2012,m,103,1,cp,rye,4937
MI,2012,m,104,1,cp,none,5239
MI,2012,m,107,1,rt,none,4306
MI,2012,m,108,1,rt,rye,4644
MI,2012,m,201,2,rt,rye,3475
MI,2012,m,202,2,rt,none,3765
MI,2012,m,205,2,cp,none,5437
MI,2012,m,206,2,cp,rye,5227
MI,2012,m,301,3,rt,none,3504
MI,2012,m,302,3,rt,rye,3086
MI,2012,m,305,3,cp,rye,7534
MI,2012,m,306,3,cp,none,5879
MI,2012,m,403,4,rt,none,5127
MI,2012,m,404,4,rt,rye,6007
MI,2012,m,407,4,cp,rye,7220
MI,2012,m,408,4,cp,none,7932
MI,2012,m,501,5,rt,rye,6867
MI,2012,m,502,5,rt,none,6672
MI,2012,m,505,5,cp,none,9856
MI,2012,m,506,5,cp,rye,8949
MI,2012,m,603,6,cp,none,6918
MI,2012,m,604,6,cp,rye,5979
MI,2012,m,607,6,rt,rye,3584
MI,2012,m,608,6,rt,none,4088
MI,2013,m,101,1,cp,none,7753
MI,2013,m,102,1,cp,rye,6941
MI,2013,m,105,1,rt,none,8081
MI,2013,m,106,1,rt,rye,6083
MI,2013,m,203,2,rt,none,8355
MI,2013,m,204,2,rt,rye,9152
MI,2013,m,207,2,cp,none,6753
MI,2013,m,208,2,cp,rye,8581
MI,2013,m,303,3,rt,none,6753
MI,2013,m,304,3,rt,rye,6643
MI,2013,m,307,3,cp,rye,7682
MI,2013,m,308,3,cp,none,8591
MI,2013,m,401,4,rt,none,7201
MI,2013,m,402,4,rt,rye,8429
MI,2013,m,405,4,cp,none,9822
MI,2013,m,406,4,cp,rye,11824
MI,2013,m,503,5,rt,rye,10766
MI,2013,m,504,5,rt,none,6176
MI,2013,m,507,5,cp,rye,9234
MI,2013,m,508,5,cp,none,10780
MI,2013,m,601,6,cp,rye,3626
MI,2013,m,602,6,cp,none,6734
MI,2013,m,605,6,rt,rye,10472
MI,2013,m,606,6,rt,none,10257
MI,2014,m,103,1,cp,rye,9384
MI,2014,m,104,1,cp,none,8123
MI,2014,m,107,1,rt,none,7897
MI,2014,m,108,1,rt,rye,9220
MI,2014,m,201,2,rt,rye,7612
MI,2014,m,202,2,rt,none,8571
MI,2014,m,205,2,cp,none,9345
MI,2014,m,206,2,cp,rye,7794
MI,2014,m,301,3,rt,none,7721
MI,2014,m,302,3,rt,rye,5297
MI,2014,m,305,3,cp,rye,7920
MI,2014,m,306,3,cp,none,7349
MI,2014,m,403,4,rt,none,8015
MI,2014,m,404,4,rt,rye,8984
MI,2014,m,407,4,cp,rye,9842
MI,2014,m,408,4,cp,none,10183
MI,2014,m,501,5,rt,rye,4285
MI,2014,m,502,5,rt,none,8504
MI,2014,m,505,5,cp,none,8198
MI,2014,m,506,5,cp,rye,10416
MI,2014,m,603,6,cp,none,9069
MI,2014,m,604,6,cp,rye,7917
MI,2014,m,607,6,rt,rye,8389
MI,2014,m,608,6,rt,none,7173
MI,2015,m,101,1,cp,none,5954
MI,2015,m,102,1,cp,rye,6547
MI,2015,m,105,1,rt,none,7040
MI,2015,m,106,1,rt,rye,6556
MI,2015,m,203,2,rt,none,6303
MI,2015,m,204,2,rt,rye,7449
MI,2015,m,207,2,cp,none,7271
MI,2015,m,208,2,cp,rye,7763
MI,2015,m,303,3,rt,none,7688
MI,2015,m,304,3,rt,rye,7391
MI,2015,m,307,3,cp,rye,6531
MI,2015,m,308,3,cp,none,8016
MI,2015,m,401,4,rt,none,6384
MI,2015,m,402,4,rt,rye,6808
MI,2015,m,405,4,cp,none,9618
MI,2015,m,406,4,cp,rye,8455
MI,2015,m,503,5,rt,rye,8798
MI,2015,m,504,5,rt,none,5541
MI,2015,m,507,5,cp,rye,8083
MI,2015,m,508,5,cp,none,8525
MI,2015,m,601,6,cp,rye,5916
MI,2015,m,602,6,cp,none,7085
MI,2015,m,605,6,rt,rye,11366
MI,2015,m,606,6,rt,none,10162
MN,2012,m,101,1,rt,none,9538
MN,2012,m,106,1,cp,rye,8956
MN,2012,m,107,1,cp,none,8665
MN,2012,m,108,1,rt,rye,9467
MN,2012,m,201,2,cp,none,9415
MN,2012,m,202,2,rt,rye,7173
MN,2012,m,204,2,rt,none,7904
MN,2012,m,207,2,cp,rye,8550
MN,2012,m,302,3,cp,none,6514
MN,2012,m,304,3,rt,rye,8387
MN,2012,m,305,3,cp,rye,9227
MN,2012,m,306,3,rt,none,6848
MN,2012,m,401,4,rt,rye,9783
MN,2012,m,402,4,cp,rye,8678
MN,2012,m,406,4,rt,none,9416
MN,2012,m,407,4,cp,none,9950
MN,2013,m,102,1,cp,none,6785
MN,2013,m,103,1,rt,rye,6552
MN,2013,m,104,1,cp,rye,7018
MN,2013,m,105,1,rt,none,6213
MN,2013,m,203,2,cp,none,4193
MN,2013,m,205,2,rt,none,5377
MN,2013,m,206,2,cp,rye,7796
MN,2013,m,208,2,rt,rye,6852
MN,2013,m,301,3,rt,none,5318
MN,2013,m,303,3,cp,rye,7400
MN,2013,m,307,3,cp,none,6828
MN,2013,m,308,3,rt,rye,7795
MN,2013,m,403,4,rt,rye,7404
MN,2013,m,404,4,cp,rye,8970
MN,2013,m,405,4,cp,none,8686
MN,2013,m,408,4,rt,none,7961
MN,2014,m,101,1,rt,none,7998
MN,2014,m,106,1,cp,rye,7822
MN,2014,m,107,1,cp,none,7776
MN,2014,m,108,1,rt,rye,10384
MN,2014,m,201,2,cp,none,9704
MN,2014,m,202,2,rt,rye,7704
MN,2014,m,204,2,rt,none,11503
MN,2014,m,207,2,cp,rye,9322
MN,2014,m,302,3,cp,none,8708
MN,2014,m,304,3,rt,rye,8192
MN,2014,m,305,3,cp,rye,10632
MN,2014,m,306,3,rt,none,7550
MN,2014,m,401,4,rt,rye,9101
MN,2014,m,402,4,cp,rye,10479
MN,2014,m,406,4,rt,none,8635
MN,2014,m,407,4,cp,none,9448
MN,2015,m,102,1,cp,none,13837
MN,2015,m,103,1,rt,rye,12169
MN,2015,m,104,1,cp,rye,12622
MN,2015,m,105,1,rt,none,11359
MN,2015,m,203,2,cp,none,12718
MN,2015,m,205,2,rt,none,10814
MN,2015,m,206,2,cp,rye,13502
MN,2015,m,208,2,rt,rye,11880
MN,2015,m,301,3,rt,none,11560
MN,2015,m,303,3,cp,rye,14332
MN,2015,m,307,3,cp,none,13224
MN,2015,m,308,3,rt,rye,12501
MN,2015,m,403,4,rt,rye,13730
MN,2015,m,404,4,cp,rye,14290
MN,2015,m,405,4,cp,none,13696
MN,2015,m,408,4,rt,none,13448
PA,2012,m,102,1,cp,rye,5530
PA,2012,m,104,1,cp,none,4456
PA,2012,m,105,1,rt,none,7944
PA,2012,m,107,1,rt,rye,8014
PA,2012,m,201,2,rt,rye,7404
PA,2012,m,202,2,cp,rye,3819
PA,2012,m,204,2,cp,none,4613
PA,2012,m,208,2,rt,none,5660
PA,2012,m,303,3,rt,none,6706
PA,2012,m,305,3,rt,rye,8518
PA,2012,m,306,3,cp,rye,4916
PA,2012,m,307,3,cp,none,6577
PA,2012,m,401,4,rt,rye,6759
PA,2012,m,403,4,rt,none,7585
PA,2012,m,404,4,cp,none,5762
PA,2012,m,406,4,cp,rye,4694
PA,2013,m,101,1,rt,rye,12097
PA,2013,m,103,1,rt,none,11175
PA,2013,m,106,1,cp,none,10222
PA,2013,m,108,1,cp,rye,11777
PA,2013,m,203,2,rt,none,10519
PA,2013,m,205,2,rt,rye,11196
PA,2013,m,206,2,cp,none,11936
PA,2013,m,207,2,cp,rye,11957
PA,2013,m,301,3,rt,none,10599
PA,2013,m,302,3,cp,rye,11152
PA,2013,m,304,3,cp,none,12811
PA,2013,m,308,3,rt,rye,11290
PA,2013,m,402,4,cp,rye,11275
PA,2013,m,405,4,rt,rye,12220
PA,2013,m,407,4,cp,none,13069
PA,2013,m,408,4,rt,none,11579
PA,2014,m,102,1,cp,rye,9515
PA,2014,m,104,1,cp,none,8551
PA,2014,m,105,1,rt,none,10286
PA,2014,m,107,1,rt,rye,10468
PA,2014,m,201,2,rt,rye,7708
PA,2014,m,202,2,cp,rye,9694
PA,2014,m,204,2,cp,none,12932
PA,2014,m,208,2,rt,none,8888
PA,2014,m,303,3,rt,none,9940
PA,2014,m,305,3,rt,rye,11129
PA,2014,m,306,3,cp,rye,11190
PA,2014,m,307,3,cp,none,10522
PA,2014,m,401,4,rt,rye,11010
PA,2014,m,403,4,rt,none,10381
PA,2014,m,404,4,cp,none,10070
PA,2014,m,406,4,cp,rye,11531
PA,2015,m,101,1,rt,rye,12414
PA,2015,m,103,1,rt,none,13651
PA,2015,m,106,1,cp,none,13459
PA,2015,m,108,1,cp,rye,13842
PA,2015,m,203,2,rt,none,10705
PA,2015,m,205,2,rt,rye,13185
PA,2015,m,206,2,cp,none,17325
PA,2015,m,207,2,cp,rye,13210
PA,2015,m,301,3,rt,none,12285
PA,2015,m,302,3,cp,rye,12238
PA,2015,m,304,3,cp,none,11034
PA,2015,m,308,3,rt,rye,12716
PA,2015,m,402,4,cp,rye,12877
PA,2015,m,405,4,rt,rye,13783
PA,2015,m,407,4,cp,none,14003
PA,2015,m,408,4,rt,none,13926
